만지지, korean
取引, japanese
폐하를, korean
見覚え, japanese
쉬어, korean
누구, korean
カットニス, japanese
太空, chinese
真実, japanese
海外, chinese
旁边, chinese
들어가, korean
효과, korean
걱정마, korean
because, japanese
まんが, japanese
yep, korean
아버지는, korean
決着, japanese
挑戦, japanese
괜한, korean
남편과, korean
局势, chinese
듣고, korean
打死, chinese
以外, japanese
火炎, japanese
拠点, japanese
필요로, korean
自负, chinese
外科, chinese
塞, japanese
ただいま, japanese
液, chinese
之上, chinese
全国, japanese
消去, japanese
아저씨가, korean
합니다, korean
대니, korean
松, japanese
말했다, korean
has, chinese
面包, chinese
murder, korean
순식간에, korean
장소는, korean
ト, japanese
있다고요, korean
王, japanese
참말로, korean
ナメ, japanese
当然, japanese
say, korean
say, chinese
동생이, korean
pink, korean
쏴라, korean
인간을, korean
밖엔, korean
南東, japanese
당신, korean
話題, japanese
고맙구나, korean
妹, chinese
自然, chinese
義, chinese
客人, japanese
豬, chinese
イカ, japanese
一会, chinese
ll, chinese
常務, japanese
外表, chinese
預け, japanese
지난번에, korean
かせ, japanese
일인, korean
驱逐, chinese
ソーダ, japanese
アイディア, japanese
이해, korean
ベット, japanese
호출해, korean
다루는, korean
유전자, korean
鼠, japanese
停め, japanese
司令官, chinese
多, chinese
转告, chinese
艾, chinese
修正, japanese
솔직하게, korean
지금은, korean
저보고, korean
送り込, japanese
fly, korean
caleb, chinese
僕, japanese
食え, japanese
ダイヤ, japanese
長年, japanese
洗手, chinese
잘못한, korean
巡逻, chinese
되어서, korean
真实, chinese
expect, korean
スタック, japanese
키스를, korean
재능이, korean
箱, japanese
세월이, korean
頼れ, japanese
윌리엄, korean
海湾, chinese
메러디스랑, korean
파괴, korean
どっち, japanese
火车, chinese
상관없는, korean
表示, chinese
꿈을, korean
시작한다, korean
仕置き, japanese
资产, chinese
負担, japanese
三角, chinese
엄마는, korean
크리스티나, korean
延長, japanese
各位, chinese
窃听, chinese
이러는, korean
极限, chinese
抵押, chinese
スタン, japanese
狡猾, japanese
困扰, chinese
格, chinese
무사히, korean
당신에겐, korean
宿舍, chinese
护送, chinese
影, japanese
思想, chinese
걸어서, korean
俺, chinese
街上, chinese
에이미가, korean
祖父, chinese
씨에게, korean
regular, chinese
생각하고, korean
烟, chinese
hold, korean
리나, korean
大昔, japanese
극장, korean
反, chinese
ａ, japanese
빨간, korean
絋, chinese
날에, korean
测验, chinese
脏话, chinese
造船, japanese
此奴, japanese
組, japanese
統計, japanese
춤, korean
아저씨는, korean
考, chinese
제임스, korean
当真, chinese
強引, japanese
咳, japanese
臀部, chinese
予知, japanese
坊, japanese
捜し, japanese
ª, korean
마누라, korean
に, japanese
ラング, japanese
區, chinese
サー, japanese
실험, korean
骨头, chinese
ルディ, japanese
á, chinese
ベリー, japanese
一日, chinese
find, korean
남지, korean
있겠나, korean
훌륭해요, korean
方面, chinese
아파, korean
雙, chinese
真, chinese
段, chinese
努力, japanese
饒, chinese
醋, chinese
支配, japanese
怪怪, chinese
아니군, korean
아프로, korean
대화를, korean
파란, korean
sind, chinese
とにかく, japanese
沿着, chinese
リラックス, japanese
圈套, chinese
裏口, japanese
chuck, chinese
ロサンゼルス, japanese
있구나, korean
結果, chinese
来说, chinese
ドゥーク, japanese
准确, chinese
조용해, korean
笑话, chinese
이러지, korean
収集, japanese
감옥에서, korean
引き, japanese
한데, korean
坦, chinese
거잖아요, korean
午後, japanese
奶牛, chinese
克拉克, chinese
息をしたくて, korean
录像, chinese
老大, chinese
后果, chinese
쳐서, korean
そりゃあ, japanese
カーラ, japanese
罢工, chinese
안나, korean
洞察, japanese
치워, korean
探员, chinese
그러시겠죠, korean
집이에요, korean
言, japanese
娶, chinese
复制, chinese
費や, japanese
ビザ, japanese
实验室, chinese
禁煙, japanese
그지, korean
되는데, korean
主角, chinese
ray, chinese
힘들죠, korean
나쁘게, korean
苹果, chinese
代役, japanese
驚, japanese
ニガー, japanese
치료, korean
地, japanese
read, korean
想像, japanese
보이는, korean
性, japanese
鈴木, japanese
池, japanese
刷, chinese
anywhere, korean
n, korean
찾으려고, korean
이것만, korean
金髪, japanese
钢铁, chinese
枪手, chinese
遜, chinese
보고서를, korean
left, korean
几, chinese
巡礼, japanese
コロンビア, japanese
때부터, korean
易斯, chinese
師団, japanese
犯人, chinese
나온다, korean
トランク, japanese
仰, japanese
ウェブサイト, japanese
웃는, korean
목소리, korean
外せ, japanese
ドム, japanese
셰퍼드가, korean
당했어, korean
マシン, japanese
내일이, korean
パット, japanese
不不, chinese
답이, korean
汤姆, chinese
선생님은, korean
恶劣, chinese
했겠지, korean
おそらく, japanese
れ, japanese
德森, chinese
拜託, chinese
略奪, japanese
이른, korean
熱, japanese
bishop, chinese
世辞, japanese
足元, japanese
缺陷, chinese
후로, korean
報, japanese
이번이, korean
give, korean
ディエゴ, japanese
win, chinese
企て, japanese
拯救, chinese
어때, korean
기다리지, korean
幸福, japanese
談, chinese
包, japanese
딜런, korean
섬, korean
first, chinese
것이다, korean
거짓말이야, korean
있기, korean
一流, japanese
무릎, korean
말든, korean
投げ捨て, japanese
大物, japanese
ソロモン, japanese
stan, korean
丁, japanese
제거할, korean
抵抗, chinese
마음대로, korean
陆, chinese
上品, japanese
立ち向か, japanese
시작하죠, korean
分間, japanese
리, korean
면회, korean
航空, chinese
지나서, korean
점, korean
느끼게, korean
名声, japanese
扔掉, chinese
ハンコック, japanese
水平, japanese
밤, korean
口水, chinese
総, japanese
航空, japanese
秋天, chinese
순간이, korean
죽여야, korean
ジャンプ, japanese
토레스가, korean
平安, chinese
着陸, japanese
音楽, japanese
カリフォルニア, japanese
り, japanese
나쁘지, korean
保镖, chinese
赦免, chinese
いかん, japanese
蝙蝠侠, chinese
계획이, korean
效力, chinese
translated, japanese
收留, chinese
fuck, chinese
初日, japanese
日记, chinese
一团糟, chinese
them, korean
あら, japanese
之前, chinese
林, chinese
鸡肉, chinese
동영상, korean
ロジャー, japanese
擅, chinese
끝날, korean
法, japanese
없게, korean
물어보지, korean
手术, chinese
기사가, korean
反乱, japanese
부분, korean
watching, korean
发狂, chinese
루비, korean
지금의, korean
지쳤어, korean
柔, chinese
如此, chinese
台, japanese
저요, korean
奖, chinese
尚, chinese
바꿔야, korean
フィラデルフィア, japanese
レーン, japanese
翅, chinese
あえぎ, japanese
キューブ, japanese
보호, korean
星期, chinese
굉장히, korean
빠지게, korean
없나, korean
出し, japanese
가다가, korean
鹿, chinese
特意, chinese
數, chinese
晚宴, chinese
泊ま, japanese
dvd, chinese
说服, chinese
里克, chinese
迎接, chinese
ﻧ, chinese
打败, chinese
ワケ, japanese
실수가, korean
比方, chinese
구, korean
トレバー, japanese
hail, korean
ヴィンセント, japanese
아이는, korean
믿는, korean
済ま, japanese
되겠네, korean
量, chinese
없겠지만, korean
领先, chinese
失せ, japanese
认真, chinese
数字, japanese
んな, japanese
フランク, japanese
布鲁克, chinese
汪, chinese
工程师, chinese
귀신, korean
龍, chinese
イギリス, japanese
아직, korean
저희, korean
飞船, chinese
장기를, korean
말좀, korean
掩, chinese
类, chinese
タワー, japanese
修理, chinese
コカイン, japanese
去死, chinese
수영, korean
赏, chinese
缶, japanese
胡子, chinese
能源, chinese
ペット, japanese
ぁ, japanese
걸로, korean
결과는, korean
asked, korean
看不起, chinese
经历, chinese
こんばんわ, japanese
남자들, korean
车库, chinese
早, chinese
カウンセラー, japanese
팔을, korean
烤肉, chinese
엘나, korean
蛮, chinese
从小, chinese
醜, japanese
月亮, chinese
되거든요, korean
기억나지, korean
家系, japanese
螃蟹, chinese
干扰, chinese
状態, japanese
단단히, korean
生日, chinese
怪异, chinese
安娜, chinese
ヘレン, japanese
語, japanese
约瑟, chinese
聖書, japanese
ce, korean
굴어, korean
듀켓, korean
夫, chinese
주요, korean
회사에, korean
돈은, korean
ねー, japanese
热, chinese
들어오고, korean
요, korean
グリ, japanese
ジェフ, japanese
入れ墨, japanese
side, chinese
局长, chinese
없다구, korean
말고는, korean
좋게, korean
公开, chinese
无, chinese
要請, japanese
eye, chinese
维修, chinese
味, japanese
モルヒネ, japanese
弱, japanese
테리, korean
判明, japanese
昇進, japanese
凯伦, chinese
閉じこも, japanese
죄송해요, korean
カンザス, japanese
ケーシー, japanese
サミー, japanese
것, korean
이봐요, korean
东京, chinese
オースティン, japanese
인턴, korean
하오, korean
いらっしゃ, japanese
頭脳, japanese
이다, korean
最悪, japanese
말하지, korean
아버지를, korean
와인을, korean
拡張, japanese
wanna, chinese
중인, korean
수지, korean
増加, japanese
ドジ, japanese
가져다, korean
カメ, japanese
통해서, korean
直播, chinese
살릴, korean
超越, chinese
贩毒, chinese
意见, chinese
タイム, japanese
찾아, korean
检验, chinese
뭐라는, korean
王座, japanese
주겠네, korean
局長, japanese
말이냐, korean
하려면, korean
잘했어, korean
奪え, japanese
말하면, korean
接, chinese
コン, japanese
小屋, japanese
江, chinese
ö, japanese
エイドリアン, japanese
ブラント, japanese
데려가, korean
峡谷, chinese
您, chinese
낫다고, korean
real, chinese
놓은, korean
是非, chinese
倍, japanese
水平, chinese
영광입니다, korean
双, chinese
トビアス, japanese
들어보세요, korean
will, chinese
못했지, korean
ゴブリン, japanese
站住, chinese
불쌍한, korean
맞습니다, korean
주려고, korean
怪不得, chinese
アルマ, japanese
下り, japanese
そん, japanese
가셔도, korean
지도를, korean
충격을, korean
职, chinese
ヤバ, japanese
싫습니다, korean
特許, japanese
野人, chinese
麻薬, japanese
줄게요, korean
コンピュータ, japanese
ヘイゼル, japanese
미래에, korean
ぉ, japanese
수는, korean
レイン, japanese
下载, chinese
도와줘요, korean
柳, chinese
必定, chinese
必, chinese
나가게, korean
净, chinese
況, chinese
切れ, japanese
立刻, chinese
아들을, korean
同一, chinese
무시하는, korean
大腿, japanese
リチャード, japanese
出错, chinese
보스, korean
目, japanese
rock, chinese
idea, chinese
기쁘게, korean
ケージ, japanese
겨우, korean
週間, japanese
전혀, korean
便利, japanese
總統, chinese
무기는, korean
属, japanese
收下, chinese
パトカー, japanese
locked, korean
建て, japanese
배포시, korean
닫아, korean
裕福, japanese
疑问, chinese
ハーブ, japanese
レジ, japanese
後戻り, japanese
鼓掌, chinese
이라고, korean
라이터, korean
髮, chinese
정신적, korean
能力, japanese
山羊, chinese
之所以, chinese
안했어, korean
すん, japanese
責任, japanese
恐, chinese
进城, chinese
終り, japanese
求婚, chinese
妻子, chinese
対等, japanese
天, chinese
銃声, japanese
電車, japanese
여기있는, korean
들어오게, korean
ハロー, japanese
做成, chinese
let, chinese
괜찮겠어, korean
早上好, chinese
想到, chinese
嘘, japanese
驾驶, chinese
그랬잖아, korean
防御, japanese
学位, chinese
도움은, korean
话说, chinese
没, chinese
召喚, japanese
来来, chinese
동생은, korean
邀, chinese
달리, korean
头号, chinese
웃음, korean
남았어, korean
래디스, korean
학생이, korean
개, korean
수술실로, korean
her, korean
アル中, japanese
공격, korean
이가, korean
猩猩, chinese
シャイ, japanese
孔, chinese
入睡, chinese
ジャクソン, japanese
이렇게까지, korean
劝, chinese
subtitle, japanese
부터, korean
もう, japanese
그러게, korean
wrong, japanese
电线, chinese
浜, japanese
階下, japanese
利息, chinese
監視, japanese
fair, korean
遊戲, chinese
形, japanese
명이나, korean
柵, japanese
元素, chinese
지금이야, korean
ｎｙ, japanese
海兵, japanese
蜡烛, chinese
就, japanese
맡게, korean
正式, japanese
誘導, japanese
老人, japanese
チップ, japanese
辨, chinese
行進, japanese
always, chinese
직원, korean
않았지만, korean
이분이, korean
車両, japanese
アレックス, japanese
삶이, korean
活動, japanese
입으로, korean
メル, japanese
密斯, chinese
シモーヌ, japanese
チョウ, japanese
ō, chinese
狝, chinese
想象, chinese
행복한, korean
잘못은, korean
거군요, korean
合法, chinese
并肩, chinese
予約, japanese
그릇, korean
杨, chinese
リ, japanese
ロング, japanese
그를, korean
下巴, chinese
있자, korean
守衛, japanese
말했잖아요, korean
차이가, korean
怎样, chinese
煮, chinese
배운, korean
低调, chinese
率直, japanese
肥, chinese
잃어, korean
참, korean
トラウマ, japanese
병신, korean
완전히, korean
제이미, korean
엉뚱한, korean
通り過ぎ, japanese
trying, chinese
멈춰라, korean
드리고, korean
이해하기, korean
그니깐, korean
갈, korean
수백, korean
岸, chinese
when, chinese
くそっ, japanese
トゥコ, japanese
큰, korean
売, japanese
바라요, korean
信徒, chinese
신문, korean
国会, chinese
一阵, chinese
続行, japanese
丰富, chinese
and, japanese
년아, korean
사러, korean
언니, korean
모두가, korean
梦幻, chinese
싫을, korean
줘, korean
英国, chinese
キリスト, japanese
방법은, korean
ラティマー, japanese
様, japanese
다시는, korean
에그시, korean
解釈, japanese
腿, chinese
衰, chinese
world, japanese
绳, chinese
チョー, japanese
ケーキ, japanese
撒尿, chinese
어릴, korean
好心, chinese
系, chinese
貴方, japanese
使い, japanese
bank, korean
생각할, korean
法則, japanese
들었나, korean
北, chinese
育, chinese
있다구요, korean
ウッド, japanese
彩矢, japanese
做好, chinese
趣, chinese
発信, japanese
브래들리, korean
조그만, korean
凵, japanese
街区, chinese
마치, korean
士, chinese
小小的, chinese
领土, chinese
이야기하고, korean
ホルモン, japanese
ごらん, japanese
パイプ, japanese
알죠, korean
달, korean
ヤング, japanese
ピーター, japanese
困难, chinese
开门, chinese
裸, chinese
stefan, chinese
武士, chinese
拘留, chinese
girl, japanese
玛, chinese
チャ, japanese
joe, chinese
생각해요, korean
疑, japanese
门外, chinese
프랭클린, korean
融入, chinese
桥, chinese
아프다고, korean
それ, japanese
믿기, korean
控, chinese
거네, korean
医院, chinese
マディ, japanese
摩托车, chinese
감사합니다, korean
어울려, korean
翻译, chinese
大部分, chinese
싶소, korean
銃弾, japanese
무엇을, korean
years, korean
落, chinese
搶, chinese
主意, chinese
自爆, japanese
ほぼ, japanese
잠자리를, korean
이곳을, korean
강하게, korean
アビゲイル, japanese
カーソン, japanese
斧, japanese
対決, japanese
毒气, chinese
上天, chinese
ベビ, japanese
とおり, japanese
봐도, korean
連れ, japanese
天国, japanese
만날, korean
赤ちゃん, japanese
later, korean
氧气, chinese
注目, japanese
信念, japanese
老爸, chinese
이상해요, korean
바란다, korean
아니죠, korean
頂, chinese
哭泣, chinese
取り込み, japanese
つもり, japanese
ジョン, japanese
know, chinese
商场, chinese
第七, chinese
later, chinese
基金, japanese
妹妹, chinese
冷却, japanese
killed, korean
注, japanese
祇, chinese
个子, chinese
テンプル, japanese
speaking, korean
ダーリン, japanese
크리스틴, korean
しめ, japanese
손, korean
扭曲, chinese
마요, korean
態勢, japanese
出事, chinese
エール, japanese
解体, japanese
滑, chinese
만들, korean
反, japanese
아니겠죠, korean
かん, japanese
가서, korean
自尊, chinese
의, korean
公平, japanese
催眠, japanese
罕见, chinese
얻고, korean
息子, japanese
不好, chinese
婆, chinese
面试, chinese
将军, chinese
친절하게, korean
앉으세요, korean
建設, japanese
밖에서, korean
炮, chinese
처리, korean
괴물을, korean
집어, korean
晚饭, chinese
示范, chinese
마티, korean
married, chinese
범인은, korean
하겠네, korean
원한다고, korean
於, chinese
pete, chinese
너흰, korean
红, chinese
细胞, chinese
稰, chinese
taking, chinese
밖으로, korean
上等, japanese
番人, japanese
전부다, korean
アディ, japanese
아버지한테, korean
알고있어, korean
여자예요, korean
后门, chinese
자들은, korean
承諾, japanese
同性恋, chinese
맥박이, korean
し, japanese
諾, chinese
싸구려, korean
嘅, chinese
발견된, korean
말할, korean
倫, chinese
カルロス, japanese
忙碌, chinese
意愿, chinese
방송을, korean
안전해요, korean
訳, japanese
尸, chinese
助, japanese
仕上げ, japanese
猫王, chinese
병신아, korean
고통스러운, korean
하는데, korean
봤어요, korean
누명을, korean
どんな, japanese
마음에, korean
후에도, korean
옷을, korean
뭐가요, korean
诈骗, chinese
亲人, chinese
走れ, japanese
ジャヴァディ, japanese
축복을, korean
試し, japanese
gets, chinese
首席, chinese
ing, chinese
タイレル, japanese
メーカー, japanese
德拉, chinese
上升, chinese
박사가, korean
walter, chinese
对付, chinese
ミル, japanese
흔들어, korean
点け, japanese
也就是说, chinese
文化, japanese
아마도요, korean
尝试, chinese
로빈스, korean
甚么, chinese
胖, chinese
設計, japanese
眼泪, chinese
狩猟, japanese
扮, chinese
걸려, korean
既婚, japanese
哥伦比亚, chinese
嫌, chinese
mujoy, korean
惠璶, chinese
dave, chinese
ガーディアン, japanese
奴, japanese
市民, chinese
争, japanese
いろ, japanese
脑子, chinese
미안하게, korean
座, japanese
ホッブズ, japanese
brody, chinese
耍, chinese
입은, korean
万一, japanese
少々, japanese
공원, korean
싶고, korean
있는가, korean
ルーサー, japanese
出掛け, japanese
相違, japanese
probably, korean
頭髮, chinese
고마워요, korean
known, korean
リットル, japanese
녀석, korean
敵, japanese
어머님이, korean
earth, korean
随便, chinese
進展, japanese
島, chinese
brian, chinese
漢, chinese
ﺒ, chinese
기억해요, korean
リック, japanese
가지게, korean
参考, japanese
昨晩, japanese
다음, korean
心事, chinese
提, chinese
cary, chinese
古, chinese
분명, korean
アルド, japanese
弗雷迪, chinese
명이, korean
단순한, korean
置, japanese
ﺷ, chinese
アッ, japanese
기뻐요, korean
一百万, chinese
号, japanese
踏上, chinese
悲し, japanese
ヘタ, japanese
안하고, korean
比較, japanese
바꿨어요, korean
向上, japanese
クスリ, japanese
大师, chinese
們現, chinese
高価, japanese
ハウザー, japanese
miles, chinese
당신들, korean
뭐에, korean
쥐, korean
エリス, japanese
ホスト, japanese
带到, chinese
한다구, korean
ワイアット, japanese
发电机, chinese
학교에서, korean
不得不, chinese
물건, korean
りゃ, japanese
広げ, japanese
테디는, korean
おかわり, japanese
吊, chinese
kind, chinese
クルー, japanese
伊, chinese
盐, chinese
要, japanese
みそ, japanese
want, japanese
后方, chinese
문제를, korean
珍贵, chinese
ミルク, japanese
아내, korean
植民, japanese
复杂, chinese
땅에서, korean
破損, japanese
kids, chinese
ペルシャ, japanese
sie, chinese
工作, japanese
絕, chinese
ﺭ, chinese
コンスタンティン, japanese
안전해, korean
such, chinese
アインシュタイン, japanese
하더라, korean
지하, korean
德, chinese
庫, japanese
支配, chinese
北京, japanese
德國, chinese
ベリック, japanese
大概, chinese
合意, japanese
注文, japanese
一样, chinese
책은, korean
당신이야, korean
约翰, chinese
받지, korean
머프, korean
小家伙, chinese
权威, chinese
当たり, japanese
싫다는, korean
酒鬼, chinese
딸은, korean
ドーリー, japanese
布朗, chinese
宣誓, japanese
ガソリン, japanese
선생님과, korean
凌, japanese
동료, korean
말씀드릴, korean
惚れ, japanese
掘り出, japanese
matt, chinese
알았죠, korean
妥当, japanese
衣服, japanese
추가, korean
묻어, korean
九, japanese
姿势, chinese
할머니도, korean
尽快, chinese
father, chinese
み, chinese
교회, korean
邮件, chinese
候选人, chinese
终于, chinese
虚弱, chinese
サイン, japanese
焊, chinese
ジェフリー, japanese
薯条, chinese
상관없어요, korean
伏特加, chinese
만들어, korean
세상은, korean
그동안, korean
다음은, korean
je, chinese
卑鄙, chinese
이러고, korean
收获, chinese
줄리, korean
重大, chinese
ふむ, japanese
ウイルス, japanese
读, chinese
聞こえ, japanese
票, chinese
テラ, japanese
手強, japanese
불쾌한, korean
フィールド, japanese
ユーモア, japanese
陥, japanese
다해서, korean
거요, korean
david, korean
alicia, chinese
확신해, korean
지옥에서, korean
夜間, japanese
孤立, japanese
먼지, korean
ずーっと, japanese
严厉, chinese
危険, japanese
소문이, korean
イブラヒム, japanese
오히려, korean
感情, chinese
알겠다, korean
ばっか, japanese
治安, chinese
俊, chinese
疾病, chinese
叶, chinese
灭, chinese
運べ, japanese
真ん中, japanese
raymond, chinese
アイザック, japanese
谴责, chinese
くつろ, japanese
扒, chinese
行い, japanese
威廉, chinese
왔니, korean
訴訟, japanese
死去, chinese
돌아갈, korean
型, chinese
冷血, chinese
after, chinese
停職, japanese
eat, chinese
사는, korean
アビゲール, japanese
겠어요, korean
알려주세요, korean
잉, korean
모든, korean
ヨット, japanese
續, chinese
記念, japanese
아니었어요, korean
救命, chinese
의사, korean
친구로, korean
있대, korean
家长, chinese
时尚, chinese
brave, korean
발, korean
올리비아, korean
報い, japanese
地獄, japanese
나두, korean
신호를, korean
共感, japanese
지역, korean
물건은, korean
筋, japanese
동무는, korean
고개, korean
美國, chinese
放り出, japanese
便, japanese
モデル, japanese
冷や, japanese
クレーン, japanese
わあ, japanese
滾, chinese
보이진, korean
한판, korean
않는다고, korean
成就, chinese
リズボン, japanese
办公室, chinese
배는, korean
毁, chinese
南非, chinese
프라니, korean
歴史, japanese
持て, japanese
남는, korean
足止め, japanese
모아, korean
猎, chinese
拷問, japanese
밝은, korean
芝加哥, chinese
그렇군요, korean
地帯, japanese
ゴ, japanese
有效, chinese
交, chinese
有利, japanese
치료할, korean
일어났는지, korean
まだ, japanese
좋다고, korean
fantasy, chinese
言語, japanese
踏み入れ, japanese
向こう側, japanese
アンジー, japanese
ストレス, japanese
血液, chinese
비밀이, korean
继承人, chinese
내요, korean
法律, japanese
버텨, korean
있거든, korean
이유야, korean
가치, korean
저에, korean
血液, japanese
スイッチ, japanese
真正, chinese
짜증, korean
라면, korean
행운을, korean
going, korean
参赛, chinese
金融, japanese
放松, chinese
수밖에, korean
的话, chinese
バックアップ, japanese
几时, chinese
줬으면, korean
予期, japanese
적은, korean
どこ, japanese
招集, japanese
展览, chinese
almost, korean
생각에, korean
話, japanese
자네의, korean
スナイパー, japanese
问, chinese
진지하게, korean
best, chinese
呼び出, japanese
去, chinese
キッド, japanese
胆量, chinese
si, korean
동쪽, korean
갔지, korean
난, korean
西雅图, chinese
精确, chinese
에그, korean
자유를, korean
背景, chinese
俱乐部, chinese
来年, japanese
对着, chinese
table, korean
乳房, chinese
조니가, korean
こんにちわ, japanese
公共, chinese
大胆, chinese
留ま, japanese
教授, chinese
ドライブ, japanese
의사야, korean
摔跤, chinese
한글자막, korean
仙女, chinese
誓, japanese
미소, korean
封筒, japanese
따라가, korean
어떻게든, korean
가족들은, korean
完ぺき, japanese
ホーマー, japanese
网上, chinese
坦克, chinese
てえ, japanese
가겠어요, korean
안다고, korean
나타난, korean
통하는, korean
警方, chinese
공간을, korean
タイガー, japanese
左右, japanese
걸렸어요, korean
深夜, chinese
特工, chinese
나와요, korean
나갈, korean
此処, japanese
室友, chinese
suppose, korean
있으면, korean
地区, chinese
즐기고, korean
重罪, japanese
le, korean
输掉, chinese
스틸, korean
우리집, korean
冰冷, chinese
偉, japanese
ゴム, japanese
六, japanese
ò, chinese
诺言, chinese
なるほど, japanese
대단해요, korean
惊, chinese
숨, korean
かぎり, japanese
亲近, chinese
친구의, korean
거는, korean
繰り返, japanese
貸し, japanese
반복한다, korean
使劲, chinese
おかげ, japanese
战场, chinese
不気味, japanese
食糧, japanese
サイキック, japanese
暑, japanese
要素, japanese
누구냐, korean
ノット, japanese
準備, chinese
卫生间, chinese
있었을, korean
나와라, korean
어딨어요, korean
sounds, korean
テキスト, japanese
馬車, japanese
ﻣ, chinese
섬에, korean
料, chinese
サクラメント, japanese
곳으로, korean
수학, korean
责怪, chinese
银行, chinese
履, japanese
写, japanese
약속했잖아, korean
対策, japanese
없었다면, korean
피해자, korean
ハウル, japanese
醒来, chinese
纯粹, chinese
주님, korean
셋, korean
그러실, korean
une, korean
アリゾナ, japanese
确切, chinese
lj, japanese
差し押さえ, japanese
알고있다, korean
健康, japanese
탁, korean
星期天, chinese
홈즈씨, korean
狀, chinese
마라, korean
몰라요, korean
方法, chinese
住口, chinese
몇가지, korean
으로, korean
たば, japanese
袋, japanese
不够, chinese
앞에서, korean
背負, japanese
埋ま, japanese
않았다면, korean
ì, chinese
아세요, korean
알았다면, korean
잊어버려, korean
worked, korean
일을, korean
않았겠지, korean
여자에, korean
겁내지, korean
gotta, korean
投手, chinese
外交, japanese
州, japanese
大爷, chinese
電波, japanese
あんた, japanese
下さ, japanese
不在, japanese
摩根, chinese
ベクター, japanese
運び出, japanese
앉을, korean
检, chinese
도와줘, korean
보내, korean
つつ, japanese
擔心, chinese
名义, chinese
서로, korean
싫다면, korean
fear, korean
写作, chinese
馆, chinese
예이, korean
자르고, korean
ディクソン, japanese
押収, japanese
柔らか, japanese
公园, chinese
예, korean
商人, chinese
멍청하게, korean
로이, korean
迷信, chinese
装作, chinese
g, chinese
爲, chinese
共同点, chinese
攻, chinese
細, chinese
frank, chinese
oh, chinese
腎臓, japanese
伝統, japanese
タフ, japanese
決め, japanese
첫번째, korean
한참, korean
師, chinese
美, chinese
people, korean
괜찮은거야, korean
것에, korean
여기서, korean
慌て, japanese
リンク, japanese
继续, chinese
least, korean
船, chinese
봤으면, korean
若, japanese
이해하고, korean
分解, japanese
已经, chinese
たび, japanese
交際, japanese
乖, chinese
싶었어요, korean
歯, japanese
talking, chinese
아니, korean
ゲスト, japanese
임신한, korean
sword, korean
バレ, japanese
했고, korean
same, korean
光芒, chinese
カフェ, japanese
의사들이, korean
평생, korean
維, chinese
애들아, korean
通路, japanese
县, chinese
一带, chinese
경기가, korean
나아질, korean
值, chinese
person, korean
설명이, korean
下雨, chinese
ターゲット, japanese
줄까요, korean
돌아오면, korean
舞台, japanese
解き放, japanese
全能, japanese
쇼, korean
누구인지, korean
塩, japanese
마지막, korean
지나갈, korean
알아낼, korean
when, korean
能, chinese
心想, chinese
出せ, japanese
데릴, korean
装备, chinese
気晴らし, japanese
슬론이, korean
距离, chinese
コンテナ, japanese
脚趾, chinese
round, korean
ホーク, japanese
울타리, korean
말하려고, korean
蟑螂, chinese
匹, japanese
나라고, korean
祈, japanese
取决于, chinese
do, japanese
조금이라도, korean
细, chinese
うう, japanese
찾고, korean
돌볼, korean
들어가게, korean
목소리를, korean
完全, chinese
짜증나는, korean
願い, japanese
사라질, korean
余, chinese
何事, japanese
胜, chinese
温か, japanese
以来, japanese
加減, japanese
ブルック, japanese
碍, chinese
lisa, chinese
비켜, korean
さあ, japanese
可乐, chinese
나이, korean
チェン, japanese
価値, japanese
瓦斯, chinese
ep, japanese
영혼이, korean
going, chinese
열어요, korean
雪莉, chinese
살수, korean
帰り, japanese
长, chinese
主要, chinese
成立, chinese
サラダ, japanese
操り, japanese
凍え, japanese
糊涂, chinese
爆薬, japanese
カタ, japanese
받게, korean
방으로, korean
래리, korean
庆幸, chinese
밤을, korean
マクギー, japanese
아저씨도, korean
약한, korean
그들에게, korean
않는, korean
목적이, korean
ゴッド, japanese
방식을, korean
リパー, japanese
喷, chinese
労働, japanese
投资, chinese
했더니, korean
非凡, chinese
哎哟, chinese
考特, chinese
スパイ, japanese
ウェル, japanese
必然, chinese
謊, chinese
세인트, korean
农场, chinese
구하는, korean
했네요, korean
주의를, korean
ふた, japanese
対, japanese
解救, chinese
엄마에게, korean
すら, japanese
替, chinese
선생님을, korean
many, korean
电梯, chinese
데이터, korean
그래야만, korean
手掛かり, japanese
지도, korean
교열, korean
위해서요, korean
琪, chinese
children, korean
하는게, korean
依子, japanese
나의, korean
子息, japanese
스티븐스는, korean
없었다고, korean
咒, chinese
ドラマ, japanese
凯莉, chinese
버튼을, korean
響き, japanese
자리로, korean
余計, japanese
원한다, korean
这次, chinese
그런데, korean
했거든요, korean
josh, chinese
かわ, japanese
올라와, korean
父親, japanese
デイリー, japanese
いわゆる, japanese
罪, chinese
援軍, japanese
최대한, korean
떠나지, korean
있었다고, korean
하지도, korean
将来, japanese
懦弱, chinese
불가능해요, korean
宠物, chinese
주변을, korean
本題, japanese
近づ, japanese
구경, korean
겁니까, korean
합니까, korean
隊員, japanese
毒素, japanese
調達, japanese
ミニ, japanese
首要, chinese
キュート, japanese
判事, japanese
모리스, korean
싣고, korean
로켓, korean
洛杉矶, chinese
ナイトクラブ, japanese
蒋, chinese
付き合い, japanese
説得, japanese
셰리, korean
보세요, korean
吉米, chinese
가져왔어요, korean
쉴드, korean
